time_of_day,proc_time_ms
22:54:38.652,2.98
22:54:48.634,3.6
22:58:57.066,2.02
22:59:04.259,1.62
22:59:11.812,1.55
22:59:23.183,2.95
22:59:26.720,1.48
22:59:36.100,2.14
22:59:39.867,1.29
23:35:44.177,10.45
23:40:23.433,9.36
23:40:43.854,7.68
23:41:50.270,8.76
23:42:13.471,8.08
23:51:04.801,7.65
23:51:30.895,7.92
23:53:37.274,7.52
23:53:52.750,7.57
23:54:08.725,7.36
23:54:31.658,7.43
23:54:44.263,7.67
23:55:41.088,7.29
23:56:07.674,7.33
23:56:41.959,7.4
23:56:50.503,7.11
23:59:51.409,7.56
23:59:59.715,7.17
00:00:07.473,7.11
00:03:38.621,8.61
00:03:48.212,9.69
00:04:35.897,7.23
00:04:49.482,10.24
00:07:55.086,7.19
00:08:46.212,7.27
00:08:58.457,7.62
00:12:06.199,11.28
00:12:13.004,1.43
00:12:16.902,1.98
00:14:53.089,3.12
00:55:24.421,42.7
00:55:34.591,3.08
00:55:36.451,2.95
00:55:39.698,2.69
00:55:43.224,2.99
00:55:50.884,2.71
00:55:53.766,2.68
00:56:00.120,3.12
00:56:03.011,2.63
00:56:05.542,2.62
00:56:10.174,4.34
00:56:19.052,2.65
00:56:22.953,2.64
00:56:29.487,2.73
00:56:31.802,2.6
00:56:40.333,2.52
00:56:43.055,2.67
00:56:45.656,2.44
00:56:50.170,2.48
00:56:52.585,2.39
00:56:54.742,1.93
00:56:56.671,1.95
00:57:00.953,1.84
00:57:03.319,1.85
00:57:09.362,1.84
00:57:13.537,1.78
00:57:17.009,1.96
00:57:19.361,2.74
00:57:21.955,1.95
00:57:28.257,2.33
00:57:39.853,1.96
00:57:47.588,1.94
00:57:50.118,2.03
00:57:51.975,1.9
00:57:54.449,2.23
00:57:56.483,1.94
00:58:04.259,1.88
00:58:06.665,1.97
00:58:09.231,2.7
00:58:25.734,1.77
01:05:56.155,39.06
01:05:56.178,86.6
01:05:56.250,5.83
01:05:59.446,6.58
01:06:42.059,5.43
01:07:51.991,3.1
01:08:08.382,10.44
01:08:12.173,15.79
01:08:21.607,3.02
01:08:34.796,2.92
01:08:54.716,2.94
01:09:07.397,3.16
01:09:26.695,2.77
01:09:54.633,2.73
01:09:56.075,2.69
01:09:57.363,2.73
01:09:58.990,2.86
01:10:01.910,4.73
01:10:04.206,3.2
01:10:08.699,2.98
01:10:18.365,2.88
01:10:28.258,2.88
01:10:38.660,3.08
01:10:51.150,2.61
01:11:07.448,2.48
01:11:26.552,2.39
01:12:05.178,2.4
01:13:00.685,75.71
01:13:16.827,2.55
01:13:37.967,2.42
01:13:56.352,2.39
01:34:00.040,2.94
01:34:05.019,2.83
01:34:07.437,2.42
01:34:12.005,2.26
01:34:16.297,2.27
01:34:20.212,2.23
01:34:26.493,2.24
01:34:29.850,2.11
01:34:45.841,2.36
01:34:54.253,2.01
01:34:57.656,1.96
01:34:59.933,1.95
01:35:02.518,1.99
01:35:05.150,3.18
01:35:12.605,1.89
01:35:15.450,1.87
02:21:57.631,3.11
02:29:12.769,8.33
02:29:33.583,10.68
02:29:38.787,14.27
02:29:48.147,3.53
02:29:50.553,3.35
02:30:01.486,5.75
02:30:03.537,7.58
02:30:07.820,11.81
02:30:20.134,11.48
02:30:28.759,9.63
02:42:04.236,30.3
02:42:29.481,7.11
02:42:41.237,7.01
02:43:01.606,6.97
02:43:10.505,7.14
02:43:25.864,7.07
03:02:54.188,32.71
03:03:03.705,2.1
03:03:06.576,1.9
03:03:08.409,1.89
03:03:13.954,6.89
03:03:34.070,6.8
03:03:38.662,6.82
03:05:22.512,429.85
03:05:33.835,3.04
03:05:45.830,7.26
03:05:50.500,3.28
03:05:52.430,20.67
03:06:04.278,3.68
03:06:32.108,2.54
03:06:41.936,2.5
03:07:09.409,20.28
03:07:13.538,14.38
03:07:21.971,2.28
03:07:24.994,2.21
04:05:25.882,4.23
04:13:37.984,4.56
04:13:43.952,4.79
04:13:51.830,10.63
04:14:18.830,2.66
04:15:16.986,11.52
04:15:41.312,2.46
04:15:57.296,12.76
04:17:11.023,5.09
04:17:29.442,10.71
04:18:00.430,2.72
04:18:13.783,5.9
04:18:22.669,2.07
04:19:36.213,7.51
04:19:55.721,3.03
04:20:19.250,6.72
04:20:45.157,2.85
04:21:03.460,2.14
04:21:39.531,2.06
04:30:18.893,6.87
04:41:07.924,2.48
04:41:30.229,2.19
04:41:40.459,1.96
04:41:45.123,1.88
04:41:53.219,2.02
04:47:06.673,30.52
04:47:11.900,20.37
04:47:47.346,6.83
04:50:36.201,2.83
04:54:53.509,3.33
04:55:07.508,3.12
04:55:16.028,3.37
04:56:12.093,2.59
05:03:34.404,10.24
05:03:37.404,2.26
05:04:44.725,9.56
05:07:32.703,5.3
05:07:36.343,2.16
05:07:57.892,3.99
05:32:04.701,4.78
05:32:06.716,6.38
05:32:24.411,6.73
05:32:51.999,26.76
05:34:55.901,34.27
05:35:15.929,2.37
05:35:28.099,1.79
05:35:45.364,1.76
05:35:56.505,2.71
05:36:09.110,2.22
05:36:25.564,1.75
05:36:36.889,1.73
05:36:40.998,4.85
05:36:42.532,2.07
05:36:46.414,1.66
05:36:50.409,1.68
05:36:58.482,1.6
05:37:05.991,1.68
05:37:08.416,6.14
05:37:12.383,1.96
05:37:19.895,1.57
05:37:25.864,1.54
05:37:30.944,1.96
05:37:36.008,1.52
05:37:40.242,1.55
05:37:43.920,1.6
05:37:50.925,1.88
05:38:08.940,1.86
05:38:21.104,7.24
05:38:23.164,1.91
05:38:27.101,1.85
05:38:41.543,2.09
05:39:26.349,29.46
05:39:48.821,9.72
05:39:52.851,1.44
05:39:58.244,16
05:40:06.612,1.68
05:40:10.863,1.64
05:40:12.278,5.56
05:40:15.977,2.56
05:40:17.529,18.23
05:40:21.129,8.25
05:40:21.468,1.91
05:40:26.050,1.84
05:40:34.620,1.79
05:40:38.091,11.43
05:40:44.174,1.49
05:40:55.695,1.49
05:41:08.382,7.92
05:41:10.205,1.77
05:41:18.549,1.92
05:41:22.518,21.55
05:41:27.063,10.08
05:41:39.493,1.84
05:41:51.574,1.85
05:41:54.195,8.19
05:41:59.299,1.84
05:42:05.043,6.29
05:42:08.336,4
05:42:22.881,10.04
05:42:28.848,1.51
05:42:36.366,1.66
05:42:43.075,6.33
05:42:49.943,3.86
05:42:56.276,1.69
05:42:56.973,6.47
05:43:01.302,1.63
05:43:12.626,1.91
05:43:19.161,1.46
05:43:34.439,1.45
05:43:41.483,1.44
05:43:46.805,6.36
05:43:50.700,4
05:43:56.157,1.47
05:44:19.668,36.89
05:44:25.721,10.22
05:44:36.896,1.49
05:44:48.293,9.12
05:44:59.312,1.71
05:45:26.506,14.54
05:45:41.181,8.33
05:46:06.878,16.29
05:46:16.261,11.22
05:46:45.359,16.03
05:46:57.180,8.38
05:47:08.281,8.2
05:47:14.424,2.76
05:47:32.959,2.17
05:47:44.306,8.05
05:47:45.936,2.22
05:49:04.554,9.83
06:29:22.481,3.33
06:29:34.727,2.81
06:29:44.767,2.78
06:29:51.721,2.68
06:30:04.939,2.73
06:30:14.594,2.68
06:30:25.698,2.72
06:30:32.213,2.73
06:43:08.798,2.74
06:43:25.187,2.07
06:43:28.981,2.01
06:43:35.382,2.06
06:43:38.892,1.95
06:43:46.609,1.9
06:43:50.419,1.93
06:43:54.527,2.08
06:43:58.097,1.93
06:44:05.952,1.86
06:44:10.833,1.85
06:44:15.497,1.78
06:44:19.866,1.81
06:44:28.648,1.8
06:44:43.317,1.73
06:44:47.729,2.63
06:47:33.041,2.19
06:47:35.504,1.92
06:47:46.091,1.93
06:47:55.517,2.04
06:48:13.985,1.96
06:49:32.662,1.48
06:49:35.878,1.7
06:50:06.691,1.59
06:54:43.831,1.24
06:54:46.170,2.95
07:25:47.622,23.25
07:25:59.533,8.14
07:26:10.359,10.22
07:27:00.509,450.36
07:27:28.592,9.54
07:27:41.453,2.42
07:31:01.156,16.73
07:31:07.693,10.97
10:39:01.222,5.93
11:26:22.814,7.86
11:26:40.579,2.57
11:26:44.893,2.06
11:26:50.990,2.09
12:46:07.138,5.44
12:46:28.071,3.91
12:46:41.427,3.78
12:46:49.958,3.97
12:47:19.198,3.78
12:47:34.421,2.9
12:47:47.009,3.39
12:48:01.554,2.53
12:48:14.883,3.23
12:48:33.208,2.67
12:48:40.177,2.47
12:48:46.604,1.73
12:48:56.049,1.88
13:35:58.273,8.89
13:36:06.687,8.36
13:36:14.726,7.68
13:36:25.868,6.37
13:36:42.237,6.18
13:36:43.873,4.55
13:36:45.795,4.89
13:36:49.170,5.1
13:36:51.802,6.56
13:36:56.236,4.76
13:37:14.470,5.89
13:37:43.983,6.26
13:40:24.185,5.64
13:40:26.887,4.94
13:43:54.991,17.19
13:44:13.794,3.32
13:44:17.267,2.52
13:44:21.763,2.43
13:44:25.928,2.53
13:44:29.358,3.04
13:46:08.759,20.11
13:46:12.292,2.94
13:47:04.955,8.53
13:47:07.371,4.19
13:47:52.696,1.22
13:47:54.847,1.6
13:47:58.378,1.42
13:48:11.029,1.19
13:48:13.303,1.24
13:48:17.819,1.91
13:48:20.130,1.02
13:48:23.138,1.2
13:48:25.633,1.03
13:48:30.929,0.96
13:48:33.057,0.91
13:50:13.907,1
13:50:16.221,0.88
13:50:17.657,1.31
13:50:19.087,0.78
13:50:26.022,0.9
13:50:37.685,1.01
13:52:29.391,1.17
13:52:32.620,0.78
13:52:35.714,0.97
13:52:37.461,0.81
13:52:50.312,0.79
13:52:57.529,0.89
13:53:00.922,1.68
13:53:03.101,0.68
13:53:05.938,0.81
13:53:52.965,0.99
13:54:03.235,2.47
13:54:04.835,2.05
13:54:08.918,0.65
13:54:10.134,0.74
13:54:16.307,1.05
13:54:17.496,0.92
13:54:19.041,0.76
13:54:27.927,1.44
13:54:29.348,1.21
13:54:56.185,0.68
13:55:23.525,0.85
13:55:31.743,1.49
13:56:22.631,2.11
13:56:28.839,1.78
13:56:36.789,5.85
