LocalProcessTimeDiffMs,LocalTimeDiffMs,LocalMonotonicDiffMs,RemoteDiffTimeMs
0.000000000,612.808942795,609.000000171,544.570068359
0.000000000,618.251323700,625.000000000,547.641357422
15.625000000,611.847400665,609.000000171,543.416503906
0.000000000,604.902505875,609.999999870,536.428466797
15.625000000,615.272760391,625.000000000,544.291992188
0.000000000,617.125511169,609.999999870,546.048828125
31.250000000,619.360923767,625.000000000,548.775878906
15.625000000,613.444805145,625.000000000,541.914550781
0.000000000,630.904436111,625.000000000,562.385742188
31.250000000,630.869150162,640.999999829,557.218261719
0.000000000,618.198871613,625.000000000,547.281982422
0.000000000,623.949050903,625.000000000,553.021972656
0.000000000,616.033077240,608.999999939,545.032714844
15.625000000,615.551710129,609.999999870,544.026611328
15.625000000,634.056329727,640.000000130,558.351318359
0.000000000,616.209983826,625.000000000,545.321533203
0.000000000,633.304119110,625.000000000,554.090576172
46.875000000,623.636960983,625.000000000,548.813476562
0.000000000,620.674133301,609.999999870,550.169677734
15.625000000,622.268199921,625.000000000,551.374267578
15.625000000,609.127759933,610.000000102,538.922119141
15.625000000,610.883951187,609.999999870,541.685302734
0.000000000,609.239816666,608.999999939,537.802978516
15.625000000,618.689775467,625.000000000,546.245361328
0.000000000,611.644029617,608.999999939,541.394287109
15.625000000,614.936113358,608.999999939,543.340576172
0.000000000,602.821588516,609.000000171,534.399169922
15.625000000,612.644910812,610.000000102,542.222656250
0.000000000,608.327627182,594.000000041,537.261474609
31.250000000,622.703313828,625.000000000,551.933837891
15.625000000,621.699810028,625.000000000,553.257080078
15.625000000,638.179302216,641.000000061,569.519287109
0.000000000,609.475612640,608.999999939,541.327392578
0.000000000,622.472286224,625.000000000,551.857666016
15.625000000,634.394884109,640.000000130,563.264160156
0.000000000,620.823383331,625.000000000,551.867675781
0.000000000,620.054244995,625.000000000,548.931640625
0.000000000,613.748550415,609.000000171,542.854492188
0.000000000,602.982282639,610.000000102,534.015380859
15.625000000,622.511863708,625.000000000,551.008789062
0.000000000,606.335878372,609.999999870,535.523681641
0.000000000,607.586860657,608.999999939,536.080810547
0.000000000,613.001108170,625.000000000,541.364257812
15.625000000,609.324932098,608.999999939,541.942138672
0.000000000,610.398530960,609.000000171,539.618164062
0.000000000,610.023736954,610.000000102,539.123535156
0.000000000,603.096246719,594.000000041,530.805664062
15.625000000,611.339330673,625.000000000,539.706054688
15.625000000,606.822967529,608.999999939,536.300781250
0.000000000,618.617057800,608.999999939,546.451416016
15.625000000,614.389419556,608.999999939,542.830810547
0.000000000,620.372533798,625.000000000,549.416992188
15.625000000,622.289180756,625.000000000,551.867187500
0.000000000,612.952947617,608.999999939,540.574218750
15.625000000,614.862680435,608.999999939,543.301757812
0.000000000,611.651420593,608.999999939,540.289306641
15.625000000,615.087985992,608.999999939,543.455078125
15.625000000,607.072591782,609.000000171,539.267333984
0.000000000,612.290382385,610.000000102,540.948486328
15.625000000,616.330385208,609.000000171,544.424316406
31.250000000,629.519462585,640.999999829,559.093017578
15.625000000,611.148595810,608.999999939,536.542724609
15.625000000,613.029718399,609.000000171,544.389404297
0.000000000,603.818178177,594.000000041,535.170898438
15.625000000,627.091407776,625.000000000,552.147949219
31.250000000,635.307788849,625.000000000,564.026855469
15.625000000,612.600088120,608.999999939,541.506591797
0.000000000,608.557939529,608.999999939,539.754638672
0.000000000,610.446691513,609.000000171,540.006591797
31.250000000,610.098600388,625.000000000,539.588623047
15.625000000,642.361640930,641.000000061,571.492675781
0.000000000,616.478681564,625.000000000,545.855957031
15.625000000,609.154701233,608.999999939,538.265136719
0.000000000,606.720685959,608.999999939,536.107666016
15.625000000,616.358280182,625.000000000,545.029541016
0.000000000,625.599861145,625.000000000,553.580078125
0.000000000,628.512144089,625.000000000,559.698486328
